# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,87.201,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.011,7.442e5,4.784,3.736e-5,0.696,1.981e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,3.801,15,1013.25,340.389,0.01,0.002
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,87.207,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.011,7.422e5,4.461,3.695e-5,0.696,1.97e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.791,15,1013.25,340.389,0.01,0.002
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,87.211,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.011,7.403e5,4.343,3.659e-5,0.696,1.961e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.78,15,1013.25,340.389,0.01,0.003
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,87.216,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.011,7.383e5,4.249,3.623e-5,0.697,1.952e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.77,15,1013.25,340.389,0.01,0.003
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,87.219,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.011,7.363e5,4.443,3.594e-5,0.697,1.947e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.76,15,1013.25,340.389,0.01,0.004
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,87.218,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.011,7.36e5,4.681,3.594e-5,0.697,1.948e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,3.759,15,1013.25,340.389,0.01,0.004
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,87.22,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.011,7.357e5,4.438,3.583e-5,0.697,1.944e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.757,15,1013.25,340.389,0.01,0.005
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,87.22,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.011,7.353e5,4.479,3.579e-5,0.697,1.944e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.755,15,1013.25,340.389,0.01,0.005
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,87.22,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.011,7.35e5,4.603,3.576e-5,0.697,1.944e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.754,15,1013.25,340.389,0.01,0.006
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,87.223,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.011,7.347e5,4.315,3.564e-5,0.697,1.939e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.752,15,1013.25,340.389,0.01,0.006
