21247,27.16,1006.98,0.60,27.17,1007.21,1.22,0.91,-0.04,-0.01,1.01,19.23,27.95,76.95,-0.11,-83.56,33.14,1.00,34.91,95.00,-0.09,1.95,-33.08,0
21451,27.16,1006.97,0.65,27.17,1007.21,1.27,0.96,-0.04,-0.01,1.09,14.88,27.93,76.93,0.11,-33.08,23.67,1.05,37.17,89.06,-0.25,-20.51,-18.25,0
21659,27.16,1006.96,0.73,27.18,1007.20,1.33,1.03,-0.04,-0.01,0.97,9.18,27.93,76.95,0.04,-26.31,14.20,0.92,26.55,87.87,-0.31,20.69,-13.69,0
21868,27.16,1006.95,0.84,27.18,1007.19,1.40,1.12,-0.04,-0.01,0.98,8.46,27.93,76.96,-0.11,-13.98,11.84,0.88,-1.83,79.56,-0.41,9.58,-11.41,0
22074,27.16,1006.94,0.96,27.18,1007.19,1.43,1.20,-0.03,-0.01,1.04,13.01,27.93,76.93,-0.15,-9.77,18.94,0.98,43.46,81.94,-0.31,27.34,-12.55,0
22280,27.16,1006.92,1.07,27.18,1007.18,1.52,1.29,-0.03,-0.01,1.10,14.21,27.93,76.91,-0.27,-7.57,18.94,1.01,9.46,74.81,-0.36,2.56,-7.98,0
22491,27.16,1006.92,1.09,27.18,1007.17,1.55,1.32,-0.03,-0.01,0.95,12.30,27.93,76.88,-0.15,-23.62,16.57,0.84,-10.31,76.00,-0.41,-4.03,-10.27,0
22695,27.16,1006.91,1.16,27.18,1007.17,1.63,1.39,-0.03,-0.01,1.01,8.34,27.92,76.83,-0.10,-16.11,11.84,0.90,-15.44,80.75,-0.45,-23.01,-11.41,0
22903,27.17,1006.91,1.17,27.18,1007.16,1.65,1.41,-0.02,-0.01,0.87,5.25,27.93,76.81,-0.02,-6.77,8.29,0.78,-11.23,90.25,-0.39,-10.44,-14.83,0
23107,27.17,1006.91,1.16,27.18,1007.15,1.73,1.44,-0.02,-0.01,0.77,2.22,27.94,76.79,0.25,-9.52,3.55,0.52,6.35,91.44,-0.51,-12.27,-13.69,0
23318,27.17,1006.91,1.16,27.18,1007.15,1.73,1.44,-0.02,-0.01,1.04,0.79,27.93,76.76,0.14,55.85,1.18,0.95,29.85,85.50,-0.41,-47.30,-12.55,0
23524,27.17,1006.91,1.17,27.18,1007.15,1.77,1.47,-0.02,-0.01,0.91,8.85,27.93,76.75,0.11,35.46,11.84,0.87,52.43,76.00,-0.24,-2.56,-7.98,0
23730,27.17,1006.91,1.13,27.18,1007.15,1.79,1.46,-0.01,-0.01,0.84,12.39,27.92,76.73,0.05,12.33,15.39,0.84,23.50,70.06,-0.09,12.88,-6.84,0
23941,27.17,1006.91,1.16,27.18,1007.15,1.77,1.47,-0.01,-0.01,0.96,22.55,27.94,76.71,-0.01,0.31,23.67,0.94,37.84,57.00,-0.20,-13.61,-10.27,0
24152,27.17,1006.92,1.11,27.18,1007.15,1.77,1.44,-0.01,-0.00,0.95,29.52,27.95,76.69,-0.05,73.61,29.59,0.94,10.13,52.25,0.11,-16.11,-10.27,0
24356,27.17,1006.93,1.02,27.18,1007.16,1.66,1.34,-0.01,-0.00,0.95,35.08,27.93,76.70,0.08,50.17,36.69,0.91,3.54,52.25,0.24,-11.29,-19.39,0
24564,27.17,1006.93,0.97,27.18,1007.17,1.61,1.29,-0.01,-0.00,0.79,44.25,27.95,76.71,-0.04,29.11,50.89,0.75,3.78,52.25,0.24,24.54,-33.08,0
24773,27.17,1006.94,0.94,27.18,1007.17,1.57,1.25,-0.01,-0.00,1.15,51.70,27.94,76.68,0.13,-13.37,55.63,1.06,-8.24,43.94,0.44,-5.49,-37.64,0
24979,27.17,1006.94,0.88,27.18,1007.18,1.49,1.19,-0.01,-0.00,1.03,49.31,27.92,76.69,-0.04,-25.45,49.71,0.94,4.21,42.75,0.42,-3.78,-34.22,0
25185,27.16,1006.94,0.92,27.17,1007.19,1.41,1.17,-0.01,-0.00,1.03,47.14,27.93,76.68,-0.09,-24.23,47.34,0.99,17.88,43.94,0.26,2.93,-27.37,0
25391,27.16,1006.95,0.83,27.17,1007.20,1.35,1.09,-0.01,-0.00,0.94,46.45,27.94,76.69,-0.06,1.40,44.98,0.92,-1.28,42.75,0.20,6.23,-26.23,0
25600,27.15,1006.96,0.79,27.17,1007.20,1.32,1.05,-0.01,-0.00,1.01,46.41,27.91,76.63,-0.02,-1.46,46.16,0.96,-3.60,43.94,0.31,6.23,-31.94,0
25808,27.15,1006.96,0.76,27.17,1007.21,1.27,1.02,-0.01,-0.00,0.94,46.45,27.91,76.62,0.04,11.11,44.98,0.90,-15.14,42.75,0.25,14.40,-29.66,0
26012,27.15,1006.96,0.79,27.16,1007.21,1.28,1.03,-0.01,-0.00,0.90,44.10,27.90,76.59,0.12,-13.92,41.43,0.89,16.17,42.75,0.06,30.70,-21.67,0
26220,27.15,1006.97,0.70,27.16,1007.21,1.26,0.98,-0.01,-0.00,1.22,44.91,27.90,76.55,-0.32,-47.91,39.06,1.17,-10.50,39.19,0.15,25.76,-19.39,0
26429,27.15,1006.98,0.62,27.16,1007.21,1.25,0.93,-0.01,-0.00,1.02,36.16,27.88,76.54,0.05,-24.29,26.04,1.01,-4.27,35.63,-0.14,10.93,-11.41,0
26635,27.14,1006.97,0.65,27.16,1007.22,1.21,0.93,-0.01,-0.00,0.83,33.60,27.90,76.51,0.14,62.26,23.67,0.82,-16.85,35.63,0.02,-17.70,-11.41,0
26841,27.14,1006.98,0.59,27.16,1007.22,1.19,0.89,-0.01,-0.00,1.16,41.09,27.91,76.47,0.07,-50.96,33.14,1.16,33.45,38.00,0.00,-7.81,-14.83,0
27052,27.14,1006.98,0.56,27.16,1007.22,1.14,0.85,-0.01,-0.00,0.77,40.14,27.91,76.43,0.19,-3.66,26.04,0.74,10.86,30.87,-0.08,1.46,-11.41,0
27256,27.14,1006.98,0.58,27.15,1007.23,1.12,0.85,-0.01,-0.00,0.94,43.78,27.90,76.42,-0.09,-2.38,29.59,0.93,2.44,30.87,-0.05,13.55,-17.11,0
27464,27.14,1006.98,0.56,27.15,1007.23,1.09,0.82,-0.01,-0.00,1.17,34.50,27.90,76.37,0.19,-21.79,23.67,1.13,5.19,34.44,-0.22,-6.90,-11.41,0
27668,27.14,1006.99,0.52,27.15,1007.23,1.08,0.80,-0.01,-0.00,1.07,36.78,27.89,76.33,-0.09,-28.20,21.30,1.06,-25.57,28.50,-0.04,16.97,-9.13,0
27896,27.14,1006.99,0.48,27.15,1007.23,1.06,0.77,-0.01,-0.00,1.06,19.04,27.87,76.33,0.02,-11.47,10.65,1.00,-27.95,30.87,-0.34,-8.61,-5.70,0
28107,27.14,1006.99,0.52,27.15,1007.23,1.10,0.81,-0.01,-0.00,1.02,25.64,27.90,76.30,-0.17,19.59,15.39,1.00,11.29,32.06,-0.13,-30.52,-6.84,0
28316,27.14,1006.99,0.52,27.14,1007.23,1.11,0.82,-0.01,-0.00,1.27,31.52,27.88,76.28,0.15,61.28,18.94,1.26,-14.71,30.87,0.08,-8.91,-10.27,0
28525,27.13,1006.99,0.50,27.14,1007.24,1.04,0.77,-0.02,-0.00,1.03,43.06,27.89,76.26,0.14,-9.46,35.51,1.02,-6.77,38.00,0.04,0.18,-18.25,0
28739,27.13,1006.99,0.47,27.14,1007.23,1.05,0.76,-0.02,-0.00,1.03,39.20,27.88,76.28,0.05,-13.31,31.96,1.02,0.79,39.19,0.08,-0.85,-18.25,0
28949,27.13,1006.99,0.51,27.14,1007.24,1.01,0.76,-0.02,-0.00,0.94,38.57,27.90,76.30,0.08,-0.55,33.14,0.93,-15.69,41.56,-0.04,3.54,-17.11,0
29159,27.13,1006.98,0.57,27.14,1007.23,1.05,0.81,-0.02,-0.00,1.04,37.78,27.88,76.31,0.06,-33.20,33.14,1.04,-9.22,42.75,0.06,-8.06,-14.83,0
29372,27.13,1006.99,0.53,27.14,1007.24,0.98,0.75,-0.02,-0.00,0.79,35.01,27.90,76.33,0.17,24.78,30.77,0.75,9.52,43.94,-0.21,0.12,-14.83,0
29582,27.13,1006.99,0.54,27.14,1007.24,1.02,0.78,-0.02,-0.00,0.99,31.78,27.85,76.37,-0.02,-16.85,27.22,0.98,-5.74,43.94,0.13,-1.65,-17.11,0
29792,27.13,1006.98,0.58,27.14,1007.23,1.06,0.82,-0.02,-0.00,0.88,32.19,27.88,76.39,0.07,47.79,28.41,0.88,-67.99,45.13,-0.05,-11.17,-13.69,0
30002,27.13,1006.98,0.58,27.14,1007.23,1.09,0.84,-0.02,-0.00,1.11,37.00,27.88,76.43,0.07,-40.22,36.69,1.09,7.39,48.69,0.17,26.98,-21.67,0
30216,27.13,1006.98,0.61,27.14,1007.22,1.16,0.88,-0.02,-0.00,1.02,31.29,27.84,76.46,-0.03,-75.01,29.59,1.02,48.10,48.69,-0.05,14.77,-12.55,0
30426,27.13,1006.97,0.65,27.14,1007.23,1.12,0.88,-0.02,-0.00,1.20,24.37,27.88,76.49,-0.19,-38.09,17.75,1.15,65.12,39.19,-0.30,80.69,-4.56,0
30635,27.13,1006.98,0.60,27.14,1007.22,1.16,0.88,-0.02,-0.00,1.21,18.38,27.86,76.51,-0.14,-29.42,14.20,1.18,33.26,42.75,-0.24,-52.67,-6.84,0
30845,27.13,1006.97,0.66,27.14,1007.22,1.18,0.92,-0.02,-0.00,1.24,24.94,27.82,76.56,-0.18,-6.96,16.57,1.14,-4.09,35.63,-0.45,0.73,-6.84,0
