Time,Average Thrust
0.399,0.467
0.4,0.439
0.401,0.508
0.402,0.423
0.403,0.430
0.404,0.527
0.405,0.461
0.406,0.473
0.407,0.474
0.408,0.419
0.409,0.478
0.41,0.546
0.411,0.466
0.412,0.462
0.413,0.498
0.414,0.408
0.415,0.374
0.416,0.484
0.417,0.477
0.418,0.504
0.419,0.556
0.42,0.455
0.421,0.553
0.422,0.541
0.423,0.508
0.424,0.488
0.425,0.506
0.426,0.467
0.427,0.521
0.428,0.450
0.429,0.407
0.43,0.475
0.431,0.560
0.432,0.558
0.433,0.514
0.434,0.529
0.435,0.456
0.436,0.521
0.437,0.503
0.438,0.488
0.439,0.467
0.44,0.364
0.441,0.458
0.442,0.518
0.443,0.471
0.444,0.484
0.445,0.415
0.446,0.420
0.447,0.561
0.448,0.450
0.449,0.476
0.45,0.476
0.451,0.353
0.452,0.410
0.453,0.384
0.454,0.397
0.455,0.458
0.456,0.533
0.457,0.491
0.458,0.459
0.459,0.549
0.46,0.489
0.461,0.416
0.462,0.457
0.463,0.423
0.464,0.402
0.465,0.467
0.466,0.377
0.467,0.470
0.468,0.524
0.469,0.495
0.47,0.524
0.471,0.515
0.472,0.548
0.473,0.526
0.474,0.583
0.475,0.474
0.476,0.428
0.477,0.464
0.478,0.508
0.479,0.458
0.48,0.471
0.481,0.476
0.482,0.421
0.483,0.487
0.484,0.539
0.485,0.538
0.486,0.503
0.487,0.431
0.488,0.542
0.489,0.459
0.49,0.417
0.491,0.451
0.492,0.424
0.493,0.428
0.494,0.414
0.495,0.470
0.496,0.487
0.497,0.466
0.498,0.453
0.499,0.475
0.5,0.564
0.501,0.529
0.502,0.386
0.503,0.414
0.504,0.503
0.505,0.460
0.506,0.423
0.507,0.483
0.508,0.454
0.509,0.544
0.51,0.541
0.511,0.508
0.512,0.533
0.513,0.576
0.514,0.514
0.515,0.491
0.516,0.527
0.517,0.454
0.518,0.492
0.519,0.564
0.52,0.573
0.521,0.493
0.522,0.579
0.523,0.580
0.524,0.566
0.525,0.567
0.526,0.548
0.527,0.498
0.528,0.550
0.529,0.550
0.53,0.454
0.531,0.476
0.532,0.468
0.533,0.440
0.534,0.425
0.535,0.531
0.536,0.532
0.537,0.424
0.538,0.468
0.539,0.492
0.54,0.493
0.541,0.506
0.542,0.536
0.543,0.417
0.544,0.444
0.545,0.491
0.546,0.490
0.547,0.517
0.548,0.495
0.549,0.522
0.55,0.502
0.551,0.566
0.552,0.552
0.553,0.463
0.554,0.541
0.555,0.582
0.556,0.495
0.557,0.497
0.558,0.501
0.559,0.532
0.56,0.523
0.561,0.523
0.562,0.487
0.563,0.449
0.564,0.590
0.565,0.580
0.566,0.512
0.567,0.481
0.568,0.561
0.569,0.549
0.57,0.544
0.571,0.533
0.572,0.440
0.573,0.539
0.574,0.498
0.575,0.423
0.576,0.522
0.577,0.564
0.578,0.595
0.579,0.575
0.58,0.530
0.581,0.556
0.582,0.612
0.583,0.570
0.584,0.546
0.585,0.520
0.586,0.534
0.587,0.553
0.588,0.480
0.589,0.501
0.59,0.526
0.591,0.600
0.592,0.648
0.593,0.562
0.594,0.528
0.595,0.577
0.596,0.599
0.597,0.567
0.598,0.578
0.599,0.509
0.6,0.492
0.601,0.558
0.602,0.587
0.603,0.540
0.604,0.543
0.605,0.570
0.606,0.613
0.607,0.642
