时间 (s),高度 (m),垂直速度 (m/s),垂直加速度 (m/s²),总速度 (m/s),总加速度 (m/s²),平行风位置 (m),迎风位置 (m),横向跨距 (m),水平方向 (°),横向速度 (m/s),横向加速度 (m/s²),纬度 (°),经度 (°),重力加速度 (m/s²),攻角 (°),滚转角速度 (°/s),俯仰角速度 (°/s),偏航角速度 (°/s),质量 (g),推进剂质量 (g),纵向转动惯量 (kg·m²),横向转动惯量 (kg·m²),CP 压心位置 (cm),CG 重心位置 (cm),稳定裕量 (​),马赫数 (​),雷诺数 (​),推力 (N),阻力 (N),阻力系数 (​),轴向阻力系数 (​),摩擦阻力系数 (​),压差阻力系数 (​),基准阻力系数 (​),法向力系数 (​),俯仰力矩系数 (​),偏航力矩系数 (​),侧向力系数 (​),滚转力矩系数 (​),滚转力系数 (​),滚转阻尼系数 (​),俯仰阻尼系数 (​),科里奥利加速度 (m/s²),参考长度 (cm),参考面积 (cm²),垂直方向 (天顶角) (°),水平方向 (方位角) (°),风速 (m/s),空气温度 (°C),空气压力 (mbar),音速 (m/s),模拟时间步 (s),计算时间 (s)
3.331,215.11,169.786,29.72,171.278,30.154,26.781,0.002,26.781,0.004,22.559,5.098,22,120,9.787,0.028,-4.17e-7,-0.342,0.007,1.842e4,4819.954,15.523,0.086,209.9,157.715,3.144,0.504,3.056e7,983.929,250.14,0.656,0.656,0.27,0.233,0.153,0.005,0.016,-6.825e-5,0,0,0,0,-3.452e-6,0.023,16.6,216.424,82.461,0.01,0,13.602,988.021,339.542,0.05,0.045
3.381,223.625,170.816,20.579,172.324,20.921,27.914,0.002,27.914,0.004,22.75,3.768,22,120,9.787,0.056,-4.755e-7,-0.039,0.004,1.834e4,4744.715,15.471,0.086,209.848,157.382,3.161,0.508,3.072e7,814.576,253.221,0.657,0.657,0.27,0.233,0.153,0.011,0.034,-2.497e-4,0,0,0,0,-4.368e-8,0.023,16.6,216.424,82.471,0.009,0,13.546,987.023,339.508,0.05,0.046
3.431,232.182,171.456,12.791,172.976,13.075,29.055,0.002,29.055,0.004,22.885,2.708,22,120,9.787,0.064,-1.001e-6,0.404,0.001,1.828e4,4682.75,15.428,0.086,209.84,157.106,3.177,0.51,3.082e7,670.862,255.073,0.657,0.657,0.27,0.233,0.154,0.012,0.038,-1.072e-4,0,0,0,0,4.714e-6,0.023,16.6,216.424,82.462,0.009,0,13.491,986.019,339.474,0.05,0.046
3.481,240.761,171.732,5.518,173.262,5.807,30.201,0.002,30.201,0.005,22.974,1.809,22,120,9.787,0.05,-9.311e-7,0.822,0.01,1.823e4,4633.166,15.393,0.086,209.88,156.884,3.192,0.51,3.085e7,536.827,255.767,0.658,0.658,0.27,0.233,0.154,0.009,0.03,-1.086e-4,0,0,0,0,1.947e-5,0.023,16.6,216.424,82.43,0.007,0,13.435,985.013,339.441,0.05,0.046
3.531,249.346,171.659,-1.436,173.196,1.758,31.351,0.003,31.351,0.005,23.021,1.013,22,120,9.787,0.02,7.259e-7,1.078,0.019,1.819e4,4595.435,15.367,0.086,209.952,156.714,3.207,0.51,3.082e7,408.489,255.351,0.658,0.658,0.27,0.233,0.154,0.004,0.012,-1.047e-4,0,0,0,0,3.345e-5,0.023,16.6,216.424,82.381,0.005,0,13.379,984.006,339.407,0.05,0.046
3.581,257.921,171.326,-6.64,172.868,6.656,32.503,0.003,32.503,0.005,23.04,0.459,22,120,9.787,0.014,-5.853e-6,-1.1,0.053,1.816e4,4566.618,15.346,0.086,209.961,156.584,3.215,0.509,3.074e7,311.985,254.109,0.657,0.657,0.27,0.233,0.154,0.003,0.009,-3.874e-4,0,0,0,0,-3.5e-5,0.023,16.6,216.424,82.325,0.004,0,13.324,983,339.373,0.05,0.046
3.631,266.474,170.792,-10.648,172.338,10.648,33.655,0.003,33.655,0.005,23.039,0.027,22,120,9.787,0.042,0,-0.884,0.012,1.814e4,4544.733,15.331,0.086,209.885,156.485,3.217,0.508,3.062e7,236.943,252.239,0.657,0.657,0.27,0.233,0.154,0.008,0.025,-5.639e-5,0,0,0,0,-2.274e-5,0.023,16.6,216.424,82.275,0.005,0,13.268,981.997,339.339,0.05,0.046
3.681,274.996,170.092,-13.923,171.643,13.928,34.806,0.003,34.806,0.005,23.019,0.376,22,120,9.787,0.053,-1.501e-6,-0.545,0.013,1.813e4,4528.591,15.319,0.086,209.847,156.412,3.219,0.506,3.048e7,174.76,249.862,0.657,0.657,0.27,0.233,0.153,0.01,0.032,-2.681e-4,0,0,0,0,-8.706e-6,0.023,16.6,216.424,82.239,0.007,0,13.213,980.998,339.306,0.05,0.047
3.731,283.479,169.252,-16.727,170.805,16.745,35.956,0.003,35.956,0.005,22.981,0.79,22,120,9.787,0.046,0,-0.181,0.004,1.812e4,4517.445,15.311,0.086,209.85,156.361,3.222,0.503,3.031e7,120.672,247.058,0.656,0.656,0.27,0.233,0.153,0.009,0.027,3.084e-4,0,0,0,0,-9.666e-7,0.023,16.6,216.424,82.222,0.01,0,13.157,980.003,339.272,0.05,0.047
3.781,291.918,168.295,-19.06,169.848,19.098,37.104,0.003,37.104,0.005,22.922,1.196,22,120,9.787,0.024,0,0.067,0.003,1.811e4,4510.545,15.307,0.086,209.889,156.33,3.226,0.501,3.012e7,74.706,243.91,0.656,0.656,0.271,0.233,0.153,0.005,0.015,-2.451e-4,0,0,0,0,1.363e-7,0.023,16.6,216.424,82.22,0.011,0,13.103,979.013,339.239,0.05,0.047
3.831,300.307,167.268,-20.436,168.821,20.49,38.248,0.004,38.248,0.005,22.85,1.494,22,120,9.787,0.005,0,-0.134,0.006,1.81e4,4506.296,15.304,0.086,209.921,156.31,3.23,0.498,2.992e7,46.005,240.575,0.655,0.655,0.271,0.232,0.152,8.619e-4,0.003,6.171e-5,0,0,0,0,-5.466e-7,0.023,16.6,216.424,82.227,0.012,0,13.048,978.029,339.206,0.05,0.047
3.881,308.644,166.205,-21.17,167.757,21.237,39.388,0.004,39.388,0.005,22.767,1.689,22,120,9.787,0.03,0,-0.015,2.622e-4,1.81e4,4503.619,15.302,0.086,209.842,156.298,3.226,0.495,2.971e7,28.976,237.157,0.655,0.655,0.271,0.232,0.152,0.006,0.019,-3.93e-4,0,0,0,0,-6.886e-9,0.023,16.6,216.424,82.231,0.012,0,12.994,977.051,339.173,0.05,0.047
3.931,316.927,165.126,-21.474,166.676,21.548,40.524,0.004,40.524,0.005,22.678,1.785,22,120,9.787,0.045,0,0.243,0.002,1.81e4,4501.783,15.3,0.086,209.79,156.29,3.223,0.491,2.95e7,19.875,233.723,0.654,0.654,0.271,0.232,0.151,0.008,0.028,-3.686e-4,0,0,0,0,1.836e-6,0.023,16.6,216.424,82.226,0.011,0,12.94,976.08,339.141,0.05,0.048
3.981,325.156,164.043,-21.564,165.591,21.639,41.656,0.004,41.656,0.006,22.587,1.799,22,120,9.787,0.045,1.53e-6,0.554,0.008,1.81e4,4500.416,15.299,0.086,209.773,156.283,3.222,0.488,2.929e7,14.809,230.308,0.654,0.654,0.271,0.232,0.151,0.008,0.027,-3.644e-4,0,0,0,0,9.66e-6,0.022,16.6,216.424,82.205,0.01,0,12.886,975.115,339.108,0.05,0.048
# Event BURNOUT occurred at t=4 seconds
# Event EJECTION_CHARGE occurred at t=4 seconds
4,328.228,163.637,-21.651,165.184,21.725,42.079,0.004,42.079,0.006,22.553,1.799,22,120,9.787,0.041,0,0.669,0.004,1.81e4,4500,15.299,0.086,209.776,156.282,3.223,0.487,2.921e7,11.991,229.034,0.653,0.653,0.271,0.232,0.151,0.008,0.025,-1.246e-4,0,0,0,0,1.417e-5,0.022,16.6,216.424,82.194,0.009,0,12.867,974.754,339.096,0.019,0.048
4.028,332.822,163.011,-22.204,164.556,22.281,42.713,0.004,42.713,0.006,22.501,1.844,22,120,9.787,0.032,-9.134e-7,0.805,0.005,1.81e4,4500,15.299,0.086,209.789,156.282,3.223,0.485,2.909e7,0,227.084,0.653,0.653,0.271,0.231,0.151,0.006,0.019,3.811e-4,0,0,0,0,2.067e-5,0.022,16.6,216.424,82.173,0.009,0,12.837,974.216,339.078,0.028,0.048
4.07,339.679,162.077,-22.054,163.621,22.125,43.66,0.004,43.66,0.006,22.424,1.764,22,120,9.787,0.013,-4.612e-7,0.927,0.019,1.81e4,4500,15.299,0.086,209.821,156.282,3.225,0.483,2.891e7,0,224.196,0.653,0.653,0.271,0.231,0.15,0.003,0.008,1.754e-4,0,0,0,0,2.772e-5,0.022,16.6,216.424,82.136,0.008,0,12.792,973.411,339.051,0.042,0.048
4.12,347.755,160.979,-21.88,162.521,21.943,44.78,0.005,44.78,0.006,22.339,1.665,22,120,9.787,0.01,0,-0.935,0.019,1.81e4,4500,15.299,0.086,209.812,156.282,3.225,0.479,2.869e7,0,220.829,0.652,0.652,0.271,0.231,0.15,0.002,0.006,-3.82e-4,0,0,0,0,-2.858e-5,0.022,16.6,216.424,82.089,0.008,0,12.74,972.464,339.019,0.05,0.048
4.17,355.777,159.889,-21.707,161.431,21.765,45.894,0.005,45.894,0.006,22.258,1.584,22,120,9.787,0.03,-2.055e-6,-0.802,0.01,1.81e4,4500,15.299,0.086,209.749,156.282,3.221,0.476,2.848e7,0,217.522,0.651,0.651,0.271,0.231,0.149,0.006,0.018,4.986e-5,0,0,0,0,-2.135e-5,0.022,16.6,216.424,82.045,0.009,0,12.687,971.523,338.987,0.05,0.049
4.22,363.744,158.808,-21.533,160.349,21.587,47.005,0.005,47.005,0.006,22.18,1.536,22,120,9.786,0.039,-9.681e-7,-0.585,0.005,1.81e4,4500,15.299,0.086,209.71,156.282,3.219,0.473,2.827e7,0,214.273,0.651,0.651,0.271,0.231,0.149,0.007,0.024,1.654e-4,0,0,0,0,-1.149e-5,0.022,16.6,216.424,82.01,0.011,0,12.636,970.589,338.956,0.05,0.049
4.27,371.658,157.736,-21.355,159.277,21.41,48.112,0.005,48.112,0.006,22.104,1.528,22,120,9.786,0.036,0,-0.352,0.004,1.81e4,4500,15.299,0.086,209.702,156.282,3.218,0.47,2.807e7,0,211.079,0.65,0.65,0.271,0.23,0.149,0.007,0.021,-2.131e-4,0,0,0,0,-4.223e-6,0.022,16.6,216.424,81.987,0.013,0,12.584,969.661,338.925,0.05,0.049
4.32,379.518,156.673,-21.177,158.213,21.234,49.216,0.005,49.216,0.006,22.027,1.55,22,120,9.786,0.023,0,-0.171,-0.004,1.81e4,4500,15.299,0.086,209.719,156.282,3.219,0.467,2.786e7,0,207.94,0.65,0.65,0.271,0.23,0.148,0.004,0.014,-3.294e-5,0,0,0,0,-1.004e-6,0.021,16.6,216.424,81.974,0.015,0,12.533,968.739,338.894,0.05,0.049
4.37,387.325,155.618,-20.999,157.158,21.059,50.315,0.006,50.315,0.006,21.948,1.59,22,120,9.786,0.004,0,-0.088,-0.019,1.81e4,4500,15.299,0.086,209.751,156.282,3.221,0.464,2.766e7,0,204.856,0.649,0.649,0.272,0.23,0.148,7.155e-4,0.002,-4.035e-4,0,0,0,0,-2.686e-7,0.021,16.6,216.424,81.969,0.016,0,12.482,967.823,338.863,0.05,0.049
4.42,395.08,154.573,-20.825,156.112,20.888,51.411,0.006,51.411,0.006,21.868,1.629,22,120,9.786,0.016,0,0.127,-0.003,1.81e4,4500,15.299,0.086,209.707,156.282,3.218,0.461,2.746e7,0,201.824,0.649,0.649,0.272,0.23,0.148,0.003,0.009,-5.945e-5,0,0,0,0,5.747e-7,0.021,16.6,216.424,81.964,0.015,0,12.432,966.914,338.833,0.05,0.049
4.47,402.783,153.536,-20.655,155.074,20.721,52.502,0.006,52.502,0.007,21.785,1.652,22,120.001,9.786,0.03,-3.423e-7,0.257,0.007,1.81e4,4500,15.299,0.086,209.657,156.282,3.215,0.458,2.726e7,0,198.844,0.648,0.648,0.272,0.229,0.147,0.006,0.018,-2.177e-4,0,0,0,0,2.369e-6,0.021,16.6,216.424,81.955,0.014,0,12.382,966.01,338.802,0.05,0.05
4.52,410.434,152.507,-20.492,154.043,20.558,53.589,0.006,53.589,0.007,21.703,1.649,22,120.001,9.786,0.036,-6.077e-7,0.452,0.011,1.81e4,4500,15.299,0.086,209.629,156.282,3.214,0.455,2.706e7,0,195.914,0.648,0.648,0.272,0.229,0.147,0.007,0.021,9.671e-5,0,0,0,0,7.445e-6,0.021,16.6,216.424,81.937,0.011,0,12.332,965.113,338.772,0.05,0.05
4.57,418.033,151.486,-20.335,153.022,20.4,54.672,0.006,54.672,0.007,21.621,1.618,22,120.001,9.786,0.032,-8.069e-7,0.642,0.015,1.81e4,4500,15.299,0.086,209.625,156.282,3.213,0.452,2.686e7,0,193.032,0.647,0.647,0.272,0.229,0.147,0.006,0.019,4.328e-4,0,0,0,0,1.521e-5,0.021,16.6,216.424,81.909,0.008,0,12.283,964.222,338.742,0.05,0.05
4.62,425.582,150.473,-20.184,152.007,20.245,55.751,0.007,55.751,0.007,21.541,1.565,22,120.001,9.786,0.02,1.685e-6,0.792,0.027,1.81e4,4500,15.299,0.086,209.64,156.282,3.214,0.449,2.667e7,0,190.198,0.647,0.647,0.272,0.229,0.146,0.004,0.012,4.28e-4,0,0,0,0,2.344e-5,0.021,16.6,216.424,81.873,0.007,0,12.234,963.336,338.713,0.05,0.05
4.67,433.081,149.468,-20.038,151.001,20.094,56.826,0.007,56.826,0.007,21.465,1.502,22,120.001,9.786,0.004,2.188e-6,0.845,0.129,1.81e4,4500,15.299,0.086,209.666,156.282,3.216,0.446,2.648e7,0,187.412,0.646,0.646,0.272,0.229,0.146,6.86e-4,0.003,1.324e-4,0,0,0,0,2.708e-5,0.02,16.6,216.424,81.831,0.007,0,12.185,962.457,338.683,0.05,0.05
4.72,440.529,148.47,-19.894,150.003,19.946,57.898,0.007,57.898,0.007,21.391,1.441,22,120.001,9.786,0.013,-8.777e-7,-0.825,0.037,1.81e4,4500,15.299,0.086,209.631,156.282,3.214,0.443,2.629e7,0,184.671,0.646,0.646,0.272,0.228,0.146,0.002,0.008,6.68e-5,0,0,0,0,-2.615e-5,0.02,16.6,216.424,81.789,0.009,0,12.137,961.583,338.654,0.05,0.05
4.77,447.928,147.478,-19.75,149.012,19.799,58.965,0.007,58.965,0.007,21.32,1.393,22,120.001,9.786,0.024,0,-0.726,0.012,1.81e4,4500,15.299,0.086,209.589,156.282,3.211,0.44,2.61e7,0,181.976,0.645,0.645,0.272,0.228,0.145,0.005,0.014,1.917e-4,0,0,0,0,-2.05e-5,0.02,16.6,216.424,81.749,0.01,0,12.088,960.716,338.625,0.05,0.051
4.82,455.277,146.495,-19.606,148.028,19.654,60.03,0.008,60.03,0.007,21.252,1.365,22,120.001,9.786,0.029,9.875e-7,-0.583,0.001,1.81e4,4500,15.299,0.086,209.564,156.282,3.21,0.437,2.591e7,0,179.324,0.645,0.645,0.272,0.228,0.145,0.005,0.017,2.127e-4,0,0,0,0,-1.339e-5,0.02,16.6,216.424,81.717,0.013,0,12.041,959.854,338.596,0.05,0.051
4.87,462.578,145.518,-19.462,147.052,19.509,61.091,0.008,61.091,0.007,21.184,1.358,22,120.001,9.786,0.026,0,-0.437,-3.309e-4,1.81e4,4500,15.299,0.086,209.558,156.282,3.209,0.434,2.572e7,0,176.715,0.645,0.645,0.272,0.228,0.145,0.005,0.016,-1.026e-4,0,0,0,0,-7.619e-6,0.02,16.6,216.424,81.691,0.015,0,11.993,958.997,338.567,0.05,0.051
4.92,469.829,144.548,-19.317,146.083,19.365,62.148,0.008,62.148,0.007,21.115,1.367,22,120.001,9.786,0.017,-5.749e-7,-0.331,-0.007,1.81e4,4500,15.299,0.086,209.568,156.282,3.21,0.432,2.554e7,0,174.148,0.644,0.644,0.272,0.228,0.144,0.003,0.01,3.302e-4,0,0,0,0,-4.432e-6,0.02,16.6,216.424,81.672,0.016,0,11.946,958.147,338.538,0.05,0.051
4.97,477.033,143.586,-19.173,145.12,19.223,63.202,0.008,63.202,0.008,21.047,1.385,22,120.001,9.786,0.004,4.1e-7,-0.272,-0.043,1.81e4,4500,15.299,0.086,209.588,156.282,3.211,0.429,2.536e7,0,171.623,0.644,0.644,0.272,0.227,0.144,6.811e-4,0.003,2.814e-4,0,0,0,0,-3.028e-6,0.02,16.6,216.424,81.658,0.016,0,11.899,957.302,338.51,0.05,0.051
5.02,484.188,142.631,-19.031,144.165,19.083,64.253,0.009,64.253,0.008,20.977,1.405,22,120.001,9.786,0.01,-4.274e-7,0.294,-0.002,1.81e4,4500,15.299,0.086,209.559,156.282,3.21,0.426,2.517e7,0,169.137,0.643,0.643,0.272,0.227,0.144,0.002,0.006,1.148e-4,0,0,0,0,3.593e-6,0.02,16.6,216.424,81.644,0.015,0,11.853,956.463,338.482,0.05,0.051
5.07,491.296,141.683,-18.893,143.217,18.946,65.3,0.009,65.3,0.008,20.906,1.416,22,120.001,9.786,0.021,9.002e-7,0.366,0.01,1.81e4,4500,15.299,0.086,209.52,156.282,3.207,0.423,2.499e7,0,166.692,0.643,0.643,0.273,0.227,0.143,0.004,0.013,-8.933e-5,0,0,0,0,5.647e-6,0.019,16.6,216.424,81.628,0.013,0,11.807,955.629,338.454,0.05,0.052
5.12,498.356,140.742,-18.759,142.276,18.812,66.343,0.009,66.343,0.008,20.835,1.414,22,120.001,9.786,0.027,0,0.483,0.007,1.81e4,4500,15.299,0.086,209.494,156.282,3.206,0.42,2.482e7,0,164.284,0.642,0.642,0.273,0.227,0.143,0.005,0.016,-2.701e-4,0,0,0,0,9.956e-6,0.019,16.6,216.424,81.606,0.012,0,11.761,954.801,338.426,0.05,0.052
5.17,505.37,139.807,-18.629,141.341,18.681,67.383,0.009,67.383,0.008,20.765,1.398,22,120.001,9.786,0.027,-1.073e-6,0.609,0.011,1.81e4,4500,15.299,0.086,209.483,156.282,3.205,0.418,2.464e7,0,161.92,0.642,0.642,0.273,0.227,0.143,0.005,0.016,1.947e-4,0,0,0,0,1.602e-5,0.019,16.6,216.424,81.579,0.011,0,11.715,954.008,338.398,0.05,0.052
5.22,512.337,138.879,-18.503,140.412,18.554,68.42,0.009,68.42,0.008,20.696,1.369,22,120.001,9.786,0.021,5.181e-7,0.721,0.015,1.81e4,4500,15.299,0.086,209.485,156.282,3.205,0.415,2.446e7,0,159.593,0.642,0.642,0.273,0.227,0.142,0.004,0.013,-1.881e-4,0,0,0,0,2.276e-5,0.019,16.6,216.424,81.545,0.01,0,11.67,953.23,338.371,0.05,0.052
5.27,519.258,137.957,-18.381,139.49,18.429,69.453,0.01,69.453,0.008,20.628,1.331,22,120.001,9.786,0.011,-3.998e-7,0.797,0.028,1.81e4,4500,15.299,0.086,209.497,156.282,3.206,0.412,2.429e7,0,157.303,0.641,0.641,0.273,0.226,0.142,0.002,0.007,-2.858e-4,0,0,0,0,2.824e-5,0.019,16.6,216.424,81.507,0.011,0,11.625,952.457,338.344,0.05,0.052
5.32,526.133,137.041,-18.261,138.575,18.307,70.483,0.01,70.483,0.008,20.563,1.289,22,120.001,9.786,2.777e-4,0,0,0,1.81e4,4500,15.299,0.086,209.513,156.282,3.207,0.41,2.412e7,0,155.048,0.641,0.641,0.273,0.226,0.142,5.15e-5,-7.2e-5,-2.54e-4,0,0,0,0,0,0.019,16.6,216.424,81.466,0.012,0,11.58,951.689,338.316,0.05,0.052
5.37,532.962,136.131,-18.143,137.665,18.186,71.509,0.01,71.509,0.008,20.499,1.251,22,120.001,9.786,0.011,0,-0.793,0.007,1.81e4,4500,15.299,0.086,209.476,156.282,3.204,0.407,2.395e7,0,152.827,0.64,0.64,0.273,0.226,0.142,0.002,0.007,6.847e-5,0,0,0,0,-2.865e-5,0.019,16.6,216.424,81.425,0.013,0,11.536,950.926,338.29,0.05,0.053
5.42,539.746,135.226,-18.025,136.762,18.066,72.533,0.01,72.533,0.008,20.438,1.221,22,120.001,9.786,0.018,-8.63e-7,-0.727,6.275e-4,1.81e4,4500,15.299,0.086,209.447,156.282,3.203,0.404,2.378e7,0,150.641,0.64,0.64,0.273,0.226,0.141,0.003,0.011,-2.892e-4,0,0,0,0,-2.439e-5,0.019,16.6,216.424,81.387,0.015,0,11.492,950.168,338.263,0.05,0.053
5.47,546.485,134.328,-17.908,135.865,17.948,73.553,0.011,73.553,0.008,20.377,1.202,22,120.001,9.786,0.021,-9.091e-7,-0.64,-0.002,1.81e4,4500,15.299,0.086,209.428,156.282,3.202,0.402,2.361e7,0,148.487,0.64,0.64,0.273,0.226,0.141,0.004,0.012,-2.575e-4,0,0,0,0,-1.916e-5,0.018,16.6,216.424,81.353,0.016,0,11.448,949.415,338.236,0.05,0.053
5.52,553.179,133.436,-17.79,134.973,17.83,74.57,0.011,74.57,0.008,20.317,1.193,22,120.001,9.786,0.019,-4.459e-7,-0.553,-0.007,1.81e4,4500,15.299,0.086,209.422,156.282,3.201,0.399,2.344e7,0,146.367,0.639,0.639,0.273,0.225,0.141,0.004,0.012,-7.127e-6,0,0,0,0,-1.451e-5,0.018,16.6,216.424,81.323,0.017,0,11.404,948.667,338.21,0.05,0.054
5.57,559.829,132.549,-17.673,134.088,17.714,75.585,0.011,75.585,0.009,20.258,1.194,22,120.001,9.786,0.013,2.917e-7,-0.483,-0.019,1.81e4,4500,15.299,0.086,209.426,156.282,3.201,0.396,2.328e7,0,144.277,0.639,0.639,0.273,0.225,0.14,0.002,0.008,4.936e-4,0,0,0,0,-1.121e-5,0.018,16.6,216.424,81.297,0.018,0,11.361,947.924,338.184,0.05,0.054
5.62,566.434,131.668,-17.557,133.208,17.598,76.596,0.011,76.596,0.009,20.198,1.2,22,120.001,9.786,0.005,-8.016e-7,-0.442,-0.05,1.81e4,4500,15.299,0.086,209.438,156.282,3.202,0.394,2.311e7,0,142.22,0.639,0.639,0.273,0.225,0.14,8.531e-4,0.002,7.025e-5,0,0,0,0,-9.511e-6,0.018,16.6,216.424,81.274,0.019,0,11.318,947.186,338.158,0.05,0.055
5.67,572.996,130.793,-17.443,132.334,17.485,77.605,0.012,77.605,0.009,20.138,1.207,22,120.001,9.786,0.005,-6.022e-7,0.442,-0.053,1.81e4,4500,15.299,0.086,209.426,156.282,3.201,0.391,2.295e7,0,140.193,0.638,0.638,0.273,0.225,0.14,9.344e-4,0.003,-2.424e-4,0,0,0,0,9.636e-6,0.018,16.6,216.424,81.252,0.019,0,11.276,946.453,338.132,0.05,0.056
5.72,579.513,129.924,-17.331,131.466,17.373,78.61,0.012,78.61,0.009,20.077,1.212,22,120.001,9.786,0.014,7.089e-7,0.485,-0.017,1.81e4,4500,15.299,0.086,209.395,156.282,3.2,0.389,2.279e7,0,138.196,0.638,0.638,0.273,0.225,0.14,0.003,0.008,-3.376e-5,0,0,0,0,1.175e-5,0.018,16.6,216.424,81.229,0.019,0,11.233,945.725,338.106,0.05,0.057
5.77,585.988,129.06,-17.221,130.603,17.263,79.612,0.012,79.612,0.009,20.017,1.211,22,120.001,9.786,0.019,-1.431e-6,0.552,-0.006,1.81e4,4500,15.299,0.086,209.371,156.282,3.198,0.386,2.263e7,0,136.228,0.637,0.637,0.273,0.225,0.139,0.004,0.012,-4.256e-4,0,0,0,0,1.541e-5,0.018,16.6,216.424,81.203,0.018,0,11.191,945.001,338.081,0.05,0.058
5.82,592.42,128.202,-17.114,129.746,17.156,80.612,0.013,80.612,0.009,19.956,1.202,22,120.001,9.786,0.022,-1.399e-6,0.633,7.336e-4,1.81e4,4500,15.299,0.086,209.355,156.282,3.197,0.384,2.247e7,0,134.29,0.637,0.637,0.273,0.225,0.139,0.004,0.012,3.722e-4,0,0,0,0,2.057e-5,0.018,16.6,216.424,81.174,0.016,0,11.149,944.283,338.055,0.05,0.06
5.87,598.808,127.349,-17.009,128.894,17.05,81.608,0.013,81.608,0.009,19.897,1.186,22,120.001,9.786,0.02,1.038e-6,0.713,0.01,1.81e4,4500,15.299,0.086,209.349,156.282,3.197,0.381,2.231e7,0,132.379,0.637,0.637,0.273,0.224,0.139,0.004,0.012,-4.667e-4,0,0,0,0,2.645e-5,0.017,16.6,216.424,81.14,0.015,0,11.108,943.569,338.03,0.05,0.06
5.92,605.154,126.501,-16.907,128.047,16.947,82.601,0.013,82.601,0.009,19.838,1.164,22,120.001,9.786,0.015,1.297e-6,0.779,0.025,1.81e4,4500,15.299,0.086,209.351,156.282,3.197,0.379,2.215e7,0,130.497,0.636,0.636,0.274,0.224,0.139,0.003,0.009,4.013e-5,0,0,0,0,3.194e-5,0.017,16.6,216.424,81.103,0.013,0,11.066,942.86,338.005,0.05,0.061
5.97,611.458,125.658,-16.807,127.205,16.846,83.592,0.013,83.592,0.009,19.78,1.138,22,120.001,9.786,0.008,-7.084e-7,0.826,0.06,1.81e4,4500,15.299,0.086,209.359,156.282,3.197,0.376,2.199e7,0,128.642,0.636,0.636,0.274,0.224,0.138,0.002,0.005,2.379e-4,0,0,0,0,3.64e-5,0.017,16.6,216.424,81.062,0.013,0,11.026,942.156,337.98,0.05,0.061
6.02,617.72,124.82,-16.709,126.369,16.746,84.579,0.014,84.579,0.009,19.724,1.111,22,120.001,9.786,6.676e-4,-5.308e-7,0.338,0.768,1.81e4,4500,15.299,0.086,209.368,156.282,3.198,0.374,2.184e7,0,126.814,0.636,0.636,0.274,0.224,0.138,1.234e-4,1.674e-4,-5.548e-5,0,0,0,0,6.183e-6,0.017,16.6,216.424,81.021,0.013,0,10.985,941.456,337.956,0.05,0.062
6.07,623.94,123.987,-16.613,125.537,16.648,85.564,0.014,85.564,0.009,19.669,1.086,22,120.001,9.786,0.007,-8.447e-7,-0.825,0.067,1.81e4,4500,15.299,0.086,209.344,156.282,3.197,0.371,2.169e7,0,125.012,0.635,0.635,0.274,0.224,0.138,0.001,0.004,-2.099e-4,0,0,0,0,-3.734e-5,0.017,16.6,216.424,80.979,0.013,0,10.944,940.761,337.931,0.05,0.062
6.12,630.119,123.159,-16.517,124.711,16.551,86.546,0.014,86.546,0.009,19.615,1.065,22,120.001,9.786,0.012,-1.306e-6,-0.79,0.028,1.81e4,4500,15.299,0.086,209.321,156.282,3.195,0.369,2.153e7,0,123.236,0.635,0.635,0.274,0.224,0.138,0.002,0.007,-2.859e-4,0,0,0,0,-3.468e-5,0.017,16.6,216.424,80.938,0.015,0,10.904,940.071,337.907,0.05,0.062
6.17,636.256,122.335,-16.421,123.89,16.455,87.526,0.015,87.526,0.01,19.562,1.049,22,120.001,9.786,0.015,-1.569e-6,-0.741,0.011,1.81e4,4500,15.299,0.086,209.305,156.282,3.194,0.367,2.138e7,0,121.485,0.635,0.635,0.274,0.224,0.137,0.003,0.009,-2.06e-4,0,0,0,0,-3.09e-5,0.017,16.6,216.424,80.9,0.017,0,10.864,939.385,337.883,0.05,0.062
6.22,642.353,121.517,-16.326,123.073,16.359,88.503,0.015,88.503,0.01,19.51,1.039,22,120.001,9.786,0.015,1.439e-6,-0.693,-0.013,1.81e4,4500,15.299,0.086,209.297,156.282,3.194,0.364,2.123e7,0,119.759,0.634,0.634,0.274,0.223,0.137,0.003,0.009,-1.674e-4,0,0,0,0,-2.738e-5,0.017,16.6,216.424,80.864,0.019,0,10.825,938.704,337.859,0.05,0.062
6.27,648.408,120.703,-16.232,122.261,16.264,89.477,0.015,89.477,0.01,19.459,1.034,22,120.001,9.786,0.012,5.851e-7,-0.645,-0.028,1.81e4,4500,15.299,0.086,209.296,156.282,3.194,0.362,2.108e7,0,118.058,0.634,0.634,0.274,0.223,0.137,0.002,0.006,3.793e-4,0,0,0,0,-2.405e-5,0.017,16.6,216.424,80.831,0.02,0,10.785,938.027,337.835,0.05,0.062
