position(mm),mass(g/mm)
456,4.15087
457,4.15087
458,4.15087
459,4.15087
460,4.15087
461,4.15087
462,4.15087
463,4.15087
464,4.15087
465,4.15087
466,4.15087
467,4.15087
468,4.15087
469,4.15087
470,4.15087
471,4.15087
472,4.15087
473,4.15087
474,4.15087
475,4.15087
476,4.15087
477,4.15087
478,4.15087
479,4.15087
480,4.15087
481,4.15087
482,4.15087
483,4.15087
484,4.15087
485,4.15087
486,4.15087
487,4.15087
488,4.15087
489,4.15087
490,4.15087
491,4.15087
492,4.15087
493,4.15087
494,4.15087
495,4.15087
496,4.15087
497,4.15087
498,4.15087
499,4.15087
500,4.15087
501,4.15087
502,4.15087
503,4.15087
504,4.15087
505,4.15087
506,4.15087
507,4.15087
508,4.15087
509,4.15087
510,4.15087
511,4.15087
512,4.15087
513,4.15087
514,4.15087
515,4.15087
516,4.15087
517,4.15087
518,1.9984
519,10.7867
520,10.7867
521,10.7867
522,10.7867
523,10.7867
524,10.7867
525,10.7867
526,10.7867
527,10.7867
528,10.7867
529,10.7867
530,10.7867
531,10.7867
532,10.7867
533,10.7867
534,10.7867
535,10.7867
536,10.7867
537,10.7867
538,10.7867
539,10.7867
540,10.7867
541,10.7867
542,10.7867
543,10.7867
544,10.7867
545,10.7867
546,10.7867
547,10.7867
548,10.7867
549,10.7867
550,10.7867
551,10.7867
552,10.7867
553,10.7867
554,10.7867
555,10.7867
556,10.7867
557,10.7867
558,10.7867
559,10.7867
560,10.7867
561,10.7867
562,10.7867
563,10.7867
564,10.7867
565,10.7867
566,10.7867
567,10.7867
568,10.7867
569,10.7867
570,10.7867
571,10.7867
572,10.7867
573,10.7867
574,10.7867
575,10.7867
576,10.7867
577,10.7867
578,10.7867
579,10.7867
580,10.7867
581,10.7867
582,10.7867
583,10.7867
584,10.7867
585,10.7867
586,10.7867
587,10.7867
588,10.7867
589,10.7867
590,10.7867
591,10.7867
592,10.7867
593,10.7867
594,10.7867
595,10.7867
596,10.7867
597,10.7867
598,10.7867
599,10.7867
600,10.7867
601,21.71239
602,21.71239
603,21.71239
604,21.71239
605,11.06419
606,11.06419
607,11.06419
608,11.06419
609,11.06419
610,11.06419
611,11.06419
612,11.06419
613,11.06419
614,11.06419
615,11.06419
616,11.06419
617,11.06419
618,4.61489
619,4.61489
620,4.61489
621,4.61489
622,4.61489
623,4.61489
624,4.61489
625,4.61489
626,4.61489
627,4.61489
628,4.61489
629,4.61489
630,4.61489
631,4.61489
632,4.61489
633,4.61489
634,4.61489
635,4.61489
636,4.61489
637,4.61489
638,4.61489
639,4.61489
640,4.61489
641,4.61489
642,4.61489
643,4.61489
644,4.61489
645,4.61489
646,4.61489
647,4.61489
648,4.61489
649,4.61489
650,4.61489
651,4.61489
652,4.61489
653,4.61489
654,4.61489
655,4.61489
656,4.61489
657,4.61489
658,4.61489
659,4.61489
660,4.61489
661,4.61489
662,4.61489
663,4.61489
664,4.61489
665,4.61489
666,4.61489
667,4.61489
668,4.61489
669,4.61489
670,4.61489
671,4.61489
672,4.61489
673,4.61489
674,4.61489
675,4.61489
676,4.61489
677,4.61489
678,4.61489
679,4.61489
680,4.61489
681,4.61489
682,4.61489
683,4.61489
684,4.61489
685,4.61489
686,4.61489
687,4.61489
688,4.61489
689,4.61489
690,4.61489
691,4.61489
692,4.61489
693,4.61489
694,4.61489
695,4.61489
696,4.61489
697,4.61489
698,4.61489
699,4.61489
700,4.61489
701,4.61489
702,4.61489
703,4.61489
704,4.61489
705,19.29489
706,19.29489
707,19.29489
708,19.29489
709,19.29489
710,6.71589
711,6.71589
712,6.71589
713,6.71589
714,6.71589
715,6.71589
716,6.71589
717,6.71589
718,6.71589
719,6.71589
720,6.71589
721,6.71589
722,15.01489
723,15.01489
724,15.01489
725,15.01489
726,15.01489
727,6.494259375
728,6.494259375
729,6.494259375
730,6.494259375
731,6.494259375
732,6.494259375
733,6.494259375
734,6.494259375
735,6.494259375
736,6.494259375
737,6.494259375
738,6.494259375
739,6.494259375
740,6.494259375
741,6.494259375
742,6.494259375
743,6.494259375
744,6.494259375
745,6.494259375
746,6.494259375
747,6.494259375
748,6.494259375
749,6.494259375
750,6.494259375
751,6.494259375
752,6.494259375
753,6.494259375
754,6.494259375
755,6.494259375
756,6.494259375
757,6.494259375
758,6.494259375
759,6.494259375
760,6.494259375
761,6.494259375
762,6.494259375
763,6.494259375
764,6.494259375
765,6.494259375
766,6.494259375
767,6.494259375
768,6.494259375
769,6.494259375
770,6.494259375
771,6.494259375
772,6.494259375
773,6.494259375
774,6.494259375
775,6.494259375
776,6.494259375
777,6.494259375
778,6.494259375
779,6.494259375
780,6.494259375
781,6.494259375
782,6.494259375
783,6.494259375
784,6.494259375
785,6.494259375
786,6.494259375
787,6.494259375
788,6.494259375
789,6.494259375
790,6.494259375
791,6.494259375
792,6.494259375
793,6.494259375
794,6.494259375
795,6.494259375
796,6.494259375
797,6.494259375
798,6.494259375
799,6.494259375
800,6.494259375
801,6.494259375
802,6.494259375
803,6.494259375
804,6.494259375
805,6.494259375
806,6.494259375
807,6.494259375
808,6.494259375
809,6.494259375
810,6.494259375
811,6.494259375
812,6.494259375
813,6.494259375
814,6.494259375
815,6.494259375
816,6.494259375
817,6.494259375
818,6.494259375
819,6.494259375
820,6.494259375
821,6.494259375
822,6.494259375
823,6.494259375
824,6.494259375
825,6.494259375
826,6.494259375
827,6.494259375
828,6.494259375
829,6.494259375
830,6.494259375
831,6.494259375
832,6.494259375
833,6.494259375
834,6.494259375
835,6.494259375
836,6.494259375
837,6.494259375
838,6.494259375
839,6.494259375
840,6.494259375
841,6.494259375
842,6.494259375
843,6.494259375
844,6.494259375
845,6.494259375
846,6.494259375
847,6.494259375
848,6.494259375
849,6.494259375
850,6.494259375
851,6.494259375
852,6.494259375
853,6.494259375
854,15.34965
855,15.01489
856,15.01489
857,15.01489
858,15.01489
859,15.01489
860,7.01689
861,7.01689
862,7.01689
863,7.01689
864,7.01689
865,7.01689
866,7.01689
867,7.01689
868,7.01689
869,7.01689
870,7.01689
871,7.01689
872,15.01489
873,15.01489
874,15.01489
875,15.01489
876,15.01489
877,6.494259375
878,6.494259375
879,6.494259375
880,6.494259375
881,6.494259375
882,6.494259375
883,6.494259375
884,6.494259375
885,6.494259375
886,6.494259375
887,6.494259375
888,6.494259375
889,6.494259375
890,6.494259375
891,6.494259375
892,6.494259375
893,6.494259375
894,6.494259375
895,6.494259375
896,6.494259375
897,6.494259375
898,6.494259375
899,6.494259375
900,6.494259375
901,6.494259375
902,6.494259375
903,6.494259375
904,6.494259375
905,6.494259375
906,6.494259375
907,6.494259375
908,6.494259375
909,6.494259375
910,6.494259375
911,6.494259375
912,6.494259375
913,6.494259375
914,6.494259375
915,6.494259375
916,6.494259375
917,6.494259375
918,6.494259375
919,6.494259375
920,6.494259375
921,6.494259375
922,6.494259375
923,6.494259375
924,6.494259375
925,6.494259375
926,6.494259375
927,6.494259375
928,6.494259375
929,6.494259375
930,6.494259375
931,6.494259375
932,6.494259375
933,6.494259375
934,6.494259375
935,6.494259375
936,6.494259375
937,6.494259375
938,6.494259375
939,6.494259375
940,6.494259375
941,6.494259375
942,6.494259375
943,6.494259375
944,6.494259375
945,6.494259375
946,6.494259375
947,6.494259375
948,6.494259375
949,6.494259375
950,6.494259375
951,6.494259375
952,6.494259375
953,6.494259375
954,6.494259375
955,6.494259375
956,6.494259375
957,6.494259375
958,6.494259375
959,6.494259375
960,6.494259375
961,6.494259375
962,6.494259375
963,6.494259375
964,6.494259375
965,6.494259375
966,6.494259375
967,6.494259375
968,6.494259375
969,6.494259375
970,6.494259375
971,6.494259375
972,6.494259375
973,6.494259375
974,6.494259375
975,6.494259375
976,6.494259375
977,6.494259375
978,6.494259375
979,6.494259375
980,6.494259375
981,6.494259375
982,6.494259375
983,6.494259375
984,6.494259375
985,6.494259375
986,6.494259375
987,6.494259375
988,6.494259375
989,6.494259375
990,6.494259375
991,6.494259375
992,6.494259375
993,6.494259375
994,6.494259375
995,6.494259375
996,6.494259375
997,6.494259375
998,6.494259375
