Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.772e-4,-0.095,-9.54,0.096,9.593,-5.015e-5,0,5.015e-5,180,0.01,1.003,22.175,120.893,9.788,98.608,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.11e5,3.946,-3.329e-4,0.744,-0.006,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,2.084,15,1013.25,340.389,0.01,0.004
0.02,-4.78e-4,-0.096,-9.56,0.096,9.613,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,98.607,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.12e5,3.399,-3.343e-4,0.744,-0.006,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,2.089,15,1013.25,340.389,0.01,0.004
0.03,-4.766e-4,-0.095,-9.532,0.096,9.584,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,98.593,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.13e5,4.196,-3.342e-4,0.744,-0.006,0.408,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,2.094,15,1013.25,340.389,0.01,0.005
0.04,-4.78e-4,-0.096,-9.56,0.096,9.612,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,98.595,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.14e5,3.408,-3.359e-4,0.743,-0.006,0.408,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,2.099,15,1013.25,340.389,0.01,0.005
0.05,-4.776e-4,-0.096,-9.551,0.096,9.604,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,98.586,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.15e5,3.638,-3.364e-4,0.743,-0.006,0.408,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,2.105,15,1013.25,340.389,0.01,0.005
0.06,-4.772e-4,-0.095,-9.544,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,22.175,120.893,9.788,98.6,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.125e5,3.848,-3.342e-4,0.744,-0.006,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,2.092,15,1013.25,340.389,0.01,0.005
0.07,-4.775e-4,-0.096,-9.551,0.096,9.603,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,98.617,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.006,4.101e5,3.653,-3.324e-4,0.744,-0.006,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,2.079,15,1013.25,340.389,0.01,0.006
0.08,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,22.175,120.893,9.788,98.628,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.006,4.076e5,4.165,-3.299e-4,0.745,-0.006,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,2.067,15,1013.25,340.389,0.01,0.006
0.09,-4.769e-4,-0.095,-9.537,0.096,9.59,-5.012e-5,0,5.012e-5,180,0.01,1.002,22.175,120.893,9.788,98.645,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.006,4.051e5,4.039,-3.28e-4,0.745,-0.006,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,2.054,15,1013.25,340.389,0.01,0.006
0.1,-4.775e-4,-0.095,-9.55,0.096,9.602,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,98.665,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.006,4.027e5,3.684,-3.264e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,2.042,15,1013.25,340.389,0.01,0.006
0.11,-4.763e-4,-0.095,-9.525,0.096,9.578,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,98.662,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.006,4.021e5,4.369,-3.253e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,16.5,213.825,84,0,2.039,15,1013.25,340.389,0.01,0.006
