Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.772e-4,-0.095,-9.54,0.096,9.593,-5.015e-5,0,5.015e-5,180,0.01,1.003,22.175,120.893,9.788,86.411,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.447e5,3.946,2.956e-5,0.737,4.387e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,2.276,15,1013.25,340.389,0.01,0.004
0.02,-4.78e-4,-0.096,-9.56,0.096,9.613,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,86.422,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.435e5,3.399,2.915e-5,0.737,4.349e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,2.27,15,1013.25,340.389,0.01,0.005
0.03,-4.766e-4,-0.095,-9.532,0.096,9.584,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,86.421,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.424e5,4.196,2.903e-5,0.737,4.354e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,2.265,15,1013.25,340.389,0.01,0.005
0.04,-4.78e-4,-0.096,-9.56,0.096,9.612,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,86.434,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.413e5,3.408,2.857e-5,0.738,4.307e-4,0.403,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,2.259,15,1013.25,340.389,0.01,0.005
0.05,-4.776e-4,-0.096,-9.551,0.096,9.604,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,86.438,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.401e5,3.638,2.834e-5,0.738,4.293e-4,0.403,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,2.253,15,1013.25,340.389,0.01,0.006
0.06,-4.772e-4,-0.095,-9.544,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,22.175,120.893,9.788,86.418,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.435e5,3.848,2.925e-5,0.737,4.363e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,2.27,15,1013.25,340.389,0.01,0.006
0.07,-4.775e-4,-0.096,-9.551,0.096,9.603,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,86.401,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.007,4.469e5,3.653,3.008e-5,0.737,4.42e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,2.288,15,1013.25,340.389,0.01,0.006
0.08,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,22.175,120.893,9.788,86.378,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.007,4.503e5,4.165,3.109e-5,0.736,4.499e-4,0.401,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,2.305,15,1013.25,340.389,0.01,0.006
0.09,-4.769e-4,-0.095,-9.537,0.096,9.59,-5.012e-5,0,5.012e-5,180,0.01,1.002,22.175,120.893,9.788,86.362,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.007,4.537e5,4.039,3.197e-5,0.735,4.557e-4,0.4,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,2.322,15,1013.25,340.389,0.01,0.006
0.1,-4.775e-4,-0.095,-9.55,0.096,9.602,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,86.347,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.007,4.571e5,3.684,3.28e-5,0.735,4.607e-4,0.4,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,2.34,15,1013.25,340.389,0.01,0.006
