Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.772e-4,-0.095,-9.54,0.096,9.593,-5.015e-5,0,5.015e-5,180,0.01,1.003,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.818e-4,1.881e4,3.946,-1.52e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.004
0.02,-4.78e-4,-0.096,-9.56,0.096,9.613,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.824e-4,1.885e4,3.399,-1.525e-4,1.261,-1.261,0.925,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.005
0.03,-4.766e-4,-0.095,-9.532,0.096,9.584,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.816e-4,1.879e4,4.196,-1.517e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.005
0.04,-4.78e-4,-0.096,-9.56,0.096,9.612,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.824e-4,1.884e4,3.408,-1.525e-4,1.261,-1.261,0.925,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.005
0.05,-4.776e-4,-0.096,-9.551,0.096,9.604,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.821e-4,1.883e4,3.638,-1.523e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.005
0.06,-4.772e-4,-0.095,-9.544,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.819e-4,1.881e4,3.848,-1.521e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.006
0.07,-4.775e-4,-0.096,-9.551,0.096,9.603,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,2.821e-4,1.883e4,3.653,-1.523e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.006
0.08,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,2.816e-4,1.879e4,4.165,-1.518e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.006
0.09,-4.769e-4,-0.095,-9.537,0.096,9.59,-5.012e-5,0,5.012e-5,180,0.01,1.002,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,2.817e-4,1.88e4,4.039,-1.519e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.006
0.1,-4.775e-4,-0.095,-9.55,0.096,9.602,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,2.821e-4,1.883e4,3.684,-1.523e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.006
0.11,-4.763e-4,-0.095,-9.525,0.096,9.578,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,2.814e-4,1.878e4,4.369,-1.516e-4,1.262,-1.262,0.927,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.007
0.12,-4.772e-4,-0.095,-9.544,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,2.819e-4,1.881e4,3.832,-1.521e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.007
0.13,-4.76e-4,-0.095,-9.521,0.096,9.573,-5.003e-5,0,5.003e-5,180,0.01,1.001,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,2.812e-4,1.877e4,4.497,-1.514e-4,1.262,-1.262,0.927,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.007
0.14,-4.765e-4,-0.095,-9.53,0.096,9.583,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.937,NaN,2.815e-4,1.879e4,4.238,-1.517e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.007
0.15,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,22.175,120.893,9.788,180,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.937,NaN,2.816e-4,1.879e4,4.165,-1.518e-4,1.261,-1.261,0.926,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.007
0.16,-4.754e-4,-0.095,-9.509,0.096,9.561,-4.997e-5,0,4.997e-5,180,0.01,0.999,22.175,120.893,9.788,180,0,0,0,2.797e4,1.35e4,21.757,0.099,NaN,201.937,NaN,2.809e-4,1.874e4,4.835,-1.511e-4,1.262,-1.262,0.927,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.292e-5,16.5,213.825,84,0,0,15,1013.25,340.389,0.01,0.008
