# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.664e-4,-0.093,-9.324,0.095,9.468,-8.224e-5,0,8.224e-5,180,0.016,1.644,22.175,120.893,9.788,92.71,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.006,3.927e5,4.784,-1.017e-5,0.748,-1.936e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.002
0.02,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,92.714,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.006,3.927e5,4.461,-1.02e-5,0.748,-1.943e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.03,-4.67e-4,-0.093,-9.34,0.095,9.484,-8.234e-5,0,8.234e-5,180,0.016,1.647,22.175,120.893,9.788,92.715,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.006,3.927e5,4.343,-1.022e-5,0.748,-1.946e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.04,-4.672e-4,-0.093,-9.343,0.095,9.487,-8.237e-5,0,8.237e-5,180,0.016,1.647,22.175,120.893,9.788,92.716,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.006,3.927e5,4.249,-1.023e-5,0.748,-1.948e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.285e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.05,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,92.714,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.006,3.927e5,4.443,-1.02e-5,0.748,-1.943e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.06,-4.664e-4,-0.093,-9.328,0.095,9.472,-8.224e-5,0,8.224e-5,180,0.016,1.645,22.175,120.893,9.788,92.711,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.006,3.927e5,4.681,-1.018e-5,0.748,-1.938e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.07,-4.668e-4,-0.093,-9.336,0.095,9.481,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,92.714,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.006,3.927e5,4.438,-1.02e-5,0.748,-1.944e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.08,-4.668e-4,-0.093,-9.335,0.095,9.479,-8.23e-5,0,8.23e-5,180,0.016,1.646,22.175,120.893,9.788,92.714,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.006,3.927e5,4.479,-1.02e-5,0.748,-1.943e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.09,-4.665e-4,-0.093,-9.331,0.095,9.475,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,92.712,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.006,3.927e5,4.603,-1.019e-5,0.748,-1.94e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.1,-4.67e-4,-0.093,-9.341,0.095,9.485,-8.235e-5,0,8.235e-5,180,0.016,1.647,22.175,120.893,9.788,92.715,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.006,3.927e5,4.315,-1.022e-5,0.748,-1.946e-4,0.413,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
