# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.664e-4,-0.093,-9.324,0.095,9.468,-8.224e-5,0,8.224e-5,180,0.016,1.644,22.175,120.893,9.788,83.858,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.017,1.16e6,4.784,8.843e-4,0.666,0.002,0.33,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,5.923,15,1013.25,340.389,0.01,0.001
0.02,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,83.864,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.017,1.153e6,4.461,8.717e-4,0.666,0.002,0.331,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.889,15,1013.25,340.389,0.01,0.002
0.03,-4.67e-4,-0.093,-9.34,0.095,9.484,-8.234e-5,0,8.234e-5,180,0.016,1.647,22.175,120.893,9.788,83.87,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.017,1.146e6,4.343,8.596e-4,0.666,0.002,0.331,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.854,15,1013.25,340.389,0.01,0.002
0.04,-4.672e-4,-0.093,-9.343,0.095,9.487,-8.237e-5,0,8.237e-5,180,0.016,1.647,22.175,120.893,9.788,83.876,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.017,1.139e6,4.249,8.476e-4,0.667,0.002,0.331,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.285e-5,165,213.825,80,0,5.819,15,1013.25,340.389,0.01,0.002
0.05,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,83.881,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.017,1.132e6,4.443,8.36e-4,0.667,0.002,0.332,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.785,15,1013.25,340.389,0.01,0.002
0.06,-4.664e-4,-0.093,-9.328,0.095,9.472,-8.224e-5,0,8.224e-5,180,0.016,1.645,22.175,120.893,9.788,83.882,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.017,1.13e6,4.681,8.318e-4,0.667,0.002,0.332,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,5.771,15,1013.25,340.389,0.01,0.003
0.07,-4.668e-4,-0.093,-9.337,0.095,9.481,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,83.885,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.017,1.127e6,4.438,8.269e-4,0.667,0.002,0.332,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.758,15,1013.25,340.389,0.01,0.003
0.08,-4.668e-4,-0.093,-9.335,0.095,9.479,-8.23e-5,0,8.23e-5,180,0.016,1.646,22.175,120.893,9.788,83.887,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.017,1.125e6,4.479,8.225e-4,0.667,0.002,0.332,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.745,15,1013.25,340.389,0.01,0.003
0.09,-4.665e-4,-0.093,-9.331,0.095,9.475,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,83.889,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.017,1.122e6,4.603,8.181e-4,0.668,0.002,0.332,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.731,15,1013.25,340.389,0.01,0.003
0.1,-4.67e-4,-0.093,-9.341,0.095,9.485,-8.235e-5,0,8.235e-5,180,0.016,1.647,22.175,120.893,9.788,83.892,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.017,1.119e6,4.315,8.132e-4,0.668,0.002,0.333,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.718,15,1013.25,340.389,0.01,0.003
0.11,-4.668e-4,-0.093,-9.337,0.095,9.481,-8.232e-5,0,8.232e-5,180,0.016,1.646,22.175,120.893,9.788,83.908,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.977,NaN,0.016,1.1e6,4.431,7.813e-4,0.669,0.002,0.334,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.621,15,1013.25,340.389,0.01,0.004
0.12,-4.668e-4,-0.093,-9.337,0.095,9.481,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,83.925,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.976,NaN,0.016,1.081e6,4.436,7.498e-4,0.67,0.002,0.335,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.525,15,1013.25,340.389,0.01,0.004
0.13,-4.665e-4,-0.093,-9.33,0.095,9.474,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,83.941,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.974,NaN,0.016,1.062e6,4.62,7.192e-4,0.671,0.002,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.428,15,1013.25,340.389,0.01,0.004
0.14,-4.669e-4,-0.093,-9.338,0.095,9.482,-8.232e-5,0,8.232e-5,180,0.016,1.646,22.175,120.893,9.788,83.96,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.972,NaN,0.016,1.044e6,4.404,6.887e-4,0.672,0.002,0.337,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.332,15,1013.25,340.389,0.01,0.004
