# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,130.598,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,3.846e-4,2.567e4,4.784,-1.374e-4,1.174,-0.612,0.839,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.002
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,130.618,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,3.849e-4,2.57e4,4.461,-1.377e-4,1.174,-0.613,0.839,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.003
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,130.613,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,3.851e-4,2.571e4,4.343,-1.378e-4,1.174,-0.612,0.838,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.004
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,130.605,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,3.853e-4,2.572e4,4.249,-1.379e-4,1.173,-0.612,0.838,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.005
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,130.563,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,3.853e-4,2.572e4,4.443,-1.375e-4,1.173,-0.611,0.838,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.006
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,130.404,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,3.86e-4,2.576e4,4.681,-1.367e-4,1.173,-0.605,0.838,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,0.101,15,1013.25,340.389,0.01,0.007
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,130.303,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,3.87e-4,2.583e4,4.438,-1.366e-4,1.172,-0.601,0.837,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.101,15,1013.25,340.389,0.01,0.007
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,130.169,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,3.878e-4,2.589e4,4.479,-1.36e-4,1.172,-0.596,0.837,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.101,15,1013.25,340.389,0.01,0.008
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,130.026,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,3.885e-4,2.594e4,4.603,-1.354e-4,1.171,-0.591,0.836,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.102,15,1013.25,340.389,0.01,0.008
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,129.931,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,3.896e-4,2.601e4,4.315,-1.353e-4,1.171,-0.588,0.836,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.102,15,1013.25,340.389,0.01,0.009
