# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.664e-4,-0.093,-9.324,0.095,9.468,-8.224e-5,0,8.224e-5,180,0.016,1.644,22.175,120.893,9.788,97.872,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.019,1.289e6,4.784,-0.002,0.659,-0.004,0.324,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,6.559,15,1013.25,340.389,0.01,0.001
0.02,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,97.867,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.019,1.299e6,4.461,-0.002,0.658,-0.004,0.323,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,6.611,15,1013.25,340.389,0.01,0.001
0.03,-4.67e-4,-0.093,-9.34,0.095,9.484,-8.234e-5,0,8.234e-5,180,0.016,1.647,22.175,120.893,9.788,97.861,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.02,1.309e6,4.343,-0.002,0.658,-0.004,0.323,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,6.663,15,1013.25,340.389,0.01,0.002
0.04,-4.672e-4,-0.093,-9.343,0.095,9.487,-8.237e-5,0,8.237e-5,180,0.016,1.647,22.175,120.893,9.788,97.855,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.02,1.319e6,4.249,-0.002,0.657,-0.004,0.322,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,6.714,15,1013.25,340.389,0.01,0.002
0.05,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,97.848,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.02,1.329e6,4.443,-0.002,0.657,-0.004,0.322,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,6.766,15,1013.25,340.389,0.01,0.002
0.06,-4.664e-4,-0.093,-9.328,0.095,9.472,-8.224e-5,0,8.224e-5,180,0.016,1.645,22.175,120.893,9.788,97.851,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.02,1.324e6,4.681,-0.002,0.657,-0.004,0.322,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,6.741,15,1013.25,340.389,0.01,0.002
0.07,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,97.854,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.02,1.319e6,4.438,-0.002,0.657,-0.004,0.322,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,6.716,15,1013.25,340.389,0.01,0.002
0.08,-4.667e-4,-0.093,-9.335,0.095,9.479,-8.23e-5,0,8.23e-5,180,0.016,1.646,22.175,120.893,9.788,97.857,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.02,1.314e6,4.479,-0.002,0.658,-0.004,0.322,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,6.69,15,1013.25,340.389,0.01,0.003
0.09,-4.665e-4,-0.093,-9.331,0.095,9.475,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,97.86,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.02,1.31e6,4.603,-0.002,0.658,-0.004,0.323,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,6.665,15,1013.25,340.389,0.01,0.003
0.1,-4.67e-4,-0.093,-9.341,0.095,9.485,-8.235e-5,0,8.235e-5,180,0.016,1.647,22.175,120.893,9.788,97.864,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.02,1.305e6,4.315,-0.002,0.658,-0.004,0.323,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,6.64,15,1013.25,340.389,0.01,0.003
