# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.664e-4,-0.093,-9.324,0.095,9.468,-8.224e-5,0,8.224e-5,180,0.016,1.644,22.175,120.893,9.788,100.989,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.016,1.059e6,4.784,-0.004,0.671,-0.011,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,5.383,15,1013.25,340.389,0.01,0.001
0.02,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,100.989,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.016,1.061e6,4.461,-0.004,0.671,-0.011,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.39,15,1013.25,340.389,0.01,0.001
0.03,-4.67e-4,-0.093,-9.34,0.095,9.484,-8.234e-5,0,8.234e-5,180,0.016,1.647,22.175,120.893,9.788,100.988,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.016,1.062e6,4.343,-0.004,0.671,-0.011,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.397,15,1013.25,340.389,0.01,0.002
0.04,-4.671e-4,-0.093,-9.343,0.095,9.487,-8.237e-5,0,8.237e-5,180,0.016,1.647,22.175,120.893,9.788,100.987,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.016,1.063e6,4.249,-0.004,0.671,-0.011,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.404,15,1013.25,340.389,0.01,0.002
0.05,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,100.985,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.016,1.065e6,4.443,-0.004,0.671,-0.011,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.411,15,1013.25,340.389,0.01,0.002
0.06,-4.664e-4,-0.093,-9.328,0.095,9.472,-8.224e-5,0,8.224e-5,180,0.016,1.645,22.175,120.893,9.788,100.981,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.016,1.069e6,4.681,-0.004,0.671,-0.011,0.336,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,5.433,15,1013.25,340.389,0.01,0.002
0.07,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,100.978,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.016,1.073e6,4.438,-0.004,0.671,-0.011,0.335,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.455,15,1013.25,340.389,0.01,0.002
0.08,-4.667e-4,-0.093,-9.335,0.095,9.479,-8.23e-5,0,8.23e-5,180,0.016,1.646,22.175,120.893,9.788,100.974,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.016,1.078e6,4.479,-0.004,0.67,-0.011,0.335,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.477,15,1013.25,340.389,0.01,0.003
0.09,-4.665e-4,-0.093,-9.331,0.095,9.474,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,100.969,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.016,1.082e6,4.603,-0.004,0.67,-0.01,0.335,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.499,15,1013.25,340.389,0.01,0.003
0.1,-4.67e-4,-0.093,-9.341,0.095,9.485,-8.235e-5,0,8.235e-5,180,0.016,1.647,22.175,120.893,9.788,100.966,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.016,1.086e6,4.315,-0.004,0.67,-0.01,0.335,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.521,15,1013.25,340.389,0.01,0.003
0.11,-4.668e-4,-0.093,-9.337,0.095,9.481,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,100.965,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.977,NaN,0.016,1.087e6,4.431,-0.004,0.67,-0.01,0.335,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.526,15,1013.25,340.389,0.01,0.003
0.12,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,100.964,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.976,NaN,0.016,1.088e6,4.436,-0.004,0.67,-0.01,0.334,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.532,15,1013.25,340.389,0.01,0.003
0.13,-4.665e-4,-0.093,-9.33,0.095,9.474,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,100.962,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.974,NaN,0.016,1.089e6,4.62,-0.004,0.67,-0.01,0.334,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,5.537,15,1013.25,340.389,0.01,0.004
0.14,-4.669e-4,-0.093,-9.337,0.095,9.482,-8.232e-5,0,8.232e-5,180,0.016,1.646,22.175,120.893,9.788,100.962,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.972,NaN,0.016,1.09e6,4.404,-0.004,0.67,-0.01,0.334,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.542,15,1013.25,340.389,0.01,0.004
0.15,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,100.961,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.97,NaN,0.016,1.091e6,4.444,-0.004,0.669,-0.01,0.334,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,5.548,15,1013.25,340.389,0.01,0.004
