# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,86.566,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.006,4.167e5,4.784,2.294e-5,0.743,3.881e-4,0.408,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.132,15,1013.25,340.389,0.01,0.003
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,86.586,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.006,4.139e5,4.461,2.227e-5,0.744,3.817e-4,0.408,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.119,15,1013.25,340.389,0.01,0.004
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,86.604,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.006,4.112e5,4.343,2.165e-5,0.744,3.76e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.105,15,1013.25,340.389,0.01,0.005
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,86.622,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.006,4.085e5,4.249,2.104e-5,0.745,3.703e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.091,15,1013.25,340.389,0.01,0.005
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,86.638,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.006,4.058e5,4.443,2.049e-5,0.745,3.655e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.077,15,1013.25,340.389,0.01,0.016
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,86.636,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.006,4.057e5,4.681,2.051e-5,0.745,3.661e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.076,15,1013.25,340.389,0.01,0.016
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,86.639,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.006,4.056e5,4.438,2.045e-5,0.745,3.651e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.076,15,1013.25,340.389,0.01,0.016
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,86.64,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.006,4.055e5,4.479,2.044e-5,0.745,3.65e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.075,15,1013.25,340.389,0.01,0.016
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,86.639,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.006,4.054e5,4.603,2.044e-5,0.745,3.652e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.075,15,1013.25,340.389,0.01,0.017
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,86.642,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.006,4.053e5,4.315,2.037e-5,0.745,3.641e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.074,15,1013.25,340.389,0.01,0.017
0.11,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,86.633,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.977,NaN,0.006,4.066e5,4.431,2.068e-5,0.745,3.672e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.081,15,1013.25,340.389,0.01,0.017
0.12,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,86.624,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.976,NaN,0.006,4.08e5,4.436,2.096e-5,0.745,3.699e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.088,15,1013.25,340.389,0.01,0.017
0.13,-4.758e-4,-0.095,-9.517,0.096,9.569,-5.001e-5,0,5.001e-5,180,0.01,1,22.175,120.893,9.788,86.613,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.974,NaN,0.006,4.093e5,4.62,2.129e-5,0.745,3.731e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.095,15,1013.25,340.389,0.01,0.018
0.14,-4.762e-4,-0.095,-9.524,0.096,9.577,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,86.607,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.972,NaN,0.006,4.107e5,4.404,2.154e-5,0.744,3.751e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.102,15,1013.25,340.389,0.01,0.018
0.15,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,86.598,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.97,NaN,0.006,4.12e5,4.444,2.185e-5,0.744,3.779e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.109,15,1013.25,340.389,0.01,0.018
0.16,-4.758e-4,-0.095,-9.516,0.096,9.568,-5.001e-5,0,5.001e-5,180,0.01,1,22.175,120.893,9.788,86.602,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.969,NaN,0.006,4.111e5,4.651,2.168e-5,0.744,3.767e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.104,15,1013.25,340.389,0.01,0.019
0.17,-4.765e-4,-0.095,-9.531,0.096,9.583,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,86.612,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.967,NaN,0.006,4.102e5,4.218,2.14e-5,0.744,3.735e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.099,15,1013.25,340.389,0.01,0.019
0.18,-4.765e-4,-0.095,-9.531,0.096,9.583,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,86.618,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.965,NaN,0.006,4.093e5,4.225,2.12e-5,0.745,3.717e-4,0.409,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.095,15,1013.25,340.389,0.01,0.019
0.19,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,86.623,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.964,NaN,0.006,4.083e5,4.321,2.102e-5,0.745,3.702e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.09,15,1013.25,340.389,0.01,0.019
0.2,-4.766e-4,-0.095,-9.532,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,22.175,120.893,9.788,86.63,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.962,NaN,0.006,4.074e5,4.174,2.079e-5,0.745,3.679e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,165,213.825,84,0,2.085,15,1013.25,340.389,0.01,0.02
0.21,-4.763e-4,-0.095,-9.525,0.096,9.578,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,86.627,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.961,NaN,0.006,4.076e5,4.381,2.088e-5,0.745,3.69e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.086,15,1013.25,340.389,0.01,0.02
0.22,-4.758e-4,-0.095,-9.515,0.096,9.568,-5.001e-5,0,5.001e-5,180,0.01,1,22.175,120.893,9.788,86.622,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.959,NaN,0.006,4.079e5,4.657,2.098e-5,0.745,3.703e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.088,15,1013.25,340.389,0.01,0.02
0.23,-4.762e-4,-0.095,-9.525,0.096,9.577,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,86.624,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.957,NaN,0.006,4.081e5,4.392,2.098e-5,0.745,3.699e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.089,15,1013.25,340.389,0.01,0.021
0.24,-4.76e-4,-0.095,-9.52,0.096,9.573,-5.003e-5,0,5.003e-5,180,0.01,1.001,22.175,120.893,9.788,86.621,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.955,NaN,0.006,4.083e5,4.513,2.105e-5,0.745,3.708e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.09,15,1013.25,340.389,0.01,0.021
0.25,-4.759e-4,-0.095,-9.518,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,86.619,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.954,NaN,0.006,4.085e5,4.587,2.111e-5,0.745,3.715e-4,0.41,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.091,15,1013.25,340.389,0.01,0.021
