# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,95.558,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.012,8.126e5,4.784,-3.355e-4,0.69,-0.001,0.355,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,4.135,15,1013.25,340.389,0.01,0.002
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,95.569,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.012,8.069e5,4.461,-3.33e-4,0.69,-0.002,0.355,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.106,15,1013.25,340.389,0.01,0.002
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,95.579,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.012,8.011e5,4.343,-3.302e-4,0.691,-0.002,0.356,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.076,15,1013.25,340.389,0.01,0.003
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,95.589,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.012,7.953e5,4.249,-3.275e-4,0.691,-0.002,0.356,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.047,15,1013.25,340.389,0.01,0.003
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,95.598,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.012,7.895e5,4.443,-3.245e-4,0.692,-0.002,0.357,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.018,15,1013.25,340.389,0.01,0.004
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,95.607,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.012,7.835e5,4.681,-3.214e-4,0.692,-0.002,0.357,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,3.987,15,1013.25,340.389,0.01,0.004
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,95.619,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.012,7.774e5,4.438,-3.186e-4,0.693,-0.002,0.358,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.956,15,1013.25,340.389,0.01,0.005
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,95.63,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.012,7.713e5,4.479,-3.157e-4,0.693,-0.002,0.358,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.925,15,1013.25,340.389,0.01,0.005
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,95.64,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.011,7.652e5,4.603,-3.127e-4,0.694,-0.002,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.894,15,1013.25,340.389,0.01,0.006
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,95.653,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.011,7.592e5,4.315,-3.101e-4,0.695,-0.002,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.863,15,1013.25,340.389,0.01,0.006
