# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.664e-4,-0.093,-9.324,0.095,9.468,-8.224e-5,0,8.224e-5,180,0.016,1.644,22.175,120.893,9.788,85.653,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.006,3.904e5,4.784,4.077e-5,0.749,7.857e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.002
0.02,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.006,3.904e5,4.461,4.068e-5,0.749,7.839e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.002
0.03,-4.67e-4,-0.093,-9.34,0.095,9.484,-8.234e-5,0,8.234e-5,180,0.016,1.647,22.175,120.893,9.788,85.657,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.006,3.904e5,4.343,4.065e-5,0.749,7.833e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.002
0.04,-4.672e-4,-0.093,-9.343,0.095,9.487,-8.237e-5,0,8.237e-5,180,0.016,1.647,22.175,120.893,9.788,85.658,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.006,3.904e5,4.249,4.062e-5,0.749,7.828e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.285e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.05,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.006,3.904e5,4.443,4.068e-5,0.749,7.838e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.06,-4.664e-4,-0.093,-9.328,0.095,9.472,-8.224e-5,0,8.224e-5,180,0.016,1.645,22.175,120.893,9.788,85.654,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.006,3.904e5,4.681,4.074e-5,0.749,7.851e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.282e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.07,-4.668e-4,-0.093,-9.336,0.095,9.481,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.006,3.904e5,4.438,4.067e-5,0.749,7.838e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.08,-4.668e-4,-0.093,-9.335,0.095,9.479,-8.23e-5,0,8.23e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.006,3.904e5,4.479,4.069e-5,0.749,7.84e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.003
0.09,-4.665e-4,-0.093,-9.331,0.095,9.475,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,85.654,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.006,3.904e5,4.603,4.072e-5,0.749,7.847e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.1,-4.67e-4,-0.093,-9.341,0.095,9.485,-8.235e-5,0,8.235e-5,180,0.016,1.647,22.175,120.893,9.788,85.657,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.006,3.904e5,4.315,4.064e-5,0.749,7.831e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.11,-4.668e-4,-0.093,-9.337,0.095,9.481,-8.232e-5,0,8.232e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.977,NaN,0.006,3.904e5,4.431,4.067e-5,0.749,7.837e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.12,-4.668e-4,-0.093,-9.337,0.095,9.481,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.976,NaN,0.006,3.904e5,4.436,4.067e-5,0.749,7.838e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.13,-4.665e-4,-0.093,-9.33,0.095,9.474,-8.226e-5,0,8.226e-5,180,0.016,1.645,22.175,120.893,9.788,85.654,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.974,NaN,0.006,3.904e5,4.62,4.073e-5,0.749,7.848e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.283e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.004
0.14,-4.669e-4,-0.093,-9.338,0.095,9.482,-8.232e-5,0,8.232e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.972,NaN,0.006,3.904e5,4.404,4.066e-5,0.749,7.836e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.005
0.15,-4.668e-4,-0.093,-9.336,0.095,9.48,-8.231e-5,0,8.231e-5,180,0.016,1.646,22.175,120.893,9.788,85.656,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.97,NaN,0.006,3.904e5,4.444,4.068e-5,0.749,7.838e-4,0.414,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.284e-5,165,213.825,80,0,2,15,1013.25,340.389,0.01,0.005
