# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,85.32,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.012,8.098e5,4.784,2.01e-4,0.69,9e-4,0.355,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,4.138,15,1013.25,340.389,0.01,0.001
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,85.33,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.012,8.043e5,4.461,1.97e-4,0.69,8.946e-4,0.355,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.11,15,1013.25,340.389,0.01,0.001
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,85.34,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.012,7.987e5,4.343,1.933e-4,0.691,8.897e-4,0.356,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.082,15,1013.25,340.389,0.01,0.002
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,85.35,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.012,7.932e5,4.249,1.896e-4,0.691,8.848e-4,0.356,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.053,15,1013.25,340.389,0.01,0.002
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.359,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.012,7.877e5,4.443,1.861e-4,0.692,8.807e-4,0.357,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.025,15,1013.25,340.389,0.01,0.002
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,85.364,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.012,7.841e5,4.681,1.839e-4,0.692,8.783e-4,0.357,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,4.007,15,1013.25,340.389,0.01,0.002
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.371,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.012,7.806e5,4.438,1.815e-4,0.693,8.746e-4,0.357,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.989,15,1013.25,340.389,0.01,0.003
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,85.377,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.012,7.77e5,4.479,1.792e-4,0.693,8.716e-4,0.358,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.971,15,1013.25,340.389,0.01,0.003
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,85.383,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.012,7.735e5,4.603,1.77e-4,0.693,8.689e-4,0.358,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.953,15,1013.25,340.389,0.01,0.003
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,85.391,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.012,7.699e5,4.315,1.746e-4,0.694,8.65e-4,0.358,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.935,15,1013.25,340.389,0.01,0.003
0.11,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.398,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.977,NaN,0.011,7.653e5,4.431,1.718e-4,0.694,8.612e-4,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.911,15,1013.25,340.389,0.01,0.003
0.12,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.407,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.976,NaN,0.011,7.607e5,4.436,1.689e-4,0.694,8.571e-4,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.888,15,1013.25,340.389,0.01,0.004
0.13,-4.758e-4,-0.095,-9.517,0.096,9.569,-5.001e-5,0,5.001e-5,180,0.01,1,22.175,120.893,9.788,85.414,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.974,NaN,0.011,7.562e5,4.62,1.662e-4,0.695,8.535e-4,0.36,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.864,15,1013.25,340.389,0.01,0.004
0.14,-4.762e-4,-0.095,-9.524,0.096,9.577,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.424,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.972,NaN,0.011,7.516e5,4.404,1.632e-4,0.695,8.487e-4,0.36,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.841,15,1013.25,340.389,0.01,0.004
0.15,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,85.433,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.97,NaN,0.011,7.47e5,4.444,1.605e-4,0.696,8.446e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,3.818,15,1013.25,340.389,0.01,0.004
0.16,-4.758e-4,-0.095,-9.516,0.096,9.568,-5.001e-5,0,5.001e-5,180,0.01,1,22.175,120.893,9.788,85.414,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.969,NaN,0.011,7.56e5,4.651,1.661e-4,0.695,8.535e-4,0.36,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,3.864,15,1013.25,340.389,0.01,0.005
0.17,-4.765e-4,-0.095,-9.531,0.096,9.583,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,85.4,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.967,NaN,0.011,7.65e5,4.218,1.715e-4,0.694,8.603e-4,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.91,15,1013.25,340.389,0.01,0.005
0.18,-4.765e-4,-0.095,-9.531,0.096,9.583,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,85.384,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.965,NaN,0.012,7.741e5,4.225,1.772e-4,0.693,8.683e-4,0.358,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,3.956,15,1013.25,340.389,0.01,0.005
0.19,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,85.367,0,0,0,2.8e4,1.35e4,19.962,0.106,NaN,2019.964,NaN,0.012,7.831e5,4.321,1.83e-4,0.692,8.764e-4,0.357,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.002,15,1013.25,340.389,0.01,0.005
