# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,92.509,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.006,4.285e5,4.784,-9.519e-6,0.741,-1.523e-4,0.405,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.183,15,1013.25,340.389,0.01,0.001
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,92.489,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.006,4.324e5,4.461,-9.457e-6,0.74,-1.485e-4,0.405,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.203,15,1013.25,340.389,0.01,0.002
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,92.467,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.007,4.364e5,4.343,-9.374e-6,0.739,-1.445e-4,0.404,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.223,15,1013.25,340.389,0.01,0.002
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,92.445,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.007,4.404e5,4.249,-9.291e-6,0.738,-1.407e-4,0.403,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.244,15,1013.25,340.389,0.01,0.002
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,92.422,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.007,4.444e5,4.443,-9.18e-6,0.737,-1.365e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.264,15,1013.25,340.389,0.01,0.002
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,92.427,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.007,4.43e5,4.681,-9.188e-6,0.738,-1.375e-4,0.402,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.257,15,1013.25,340.389,0.01,0.003
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,92.437,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.007,4.416e5,4.438,-9.245e-6,0.738,-1.392e-4,0.403,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.25,15,1013.25,340.389,0.01,0.003
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,92.445,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.007,4.401e5,4.479,-9.274e-6,0.738,-1.406e-4,0.403,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.242,15,1013.25,340.389,0.01,0.003
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,92.452,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.007,4.387e5,4.603,-9.294e-6,0.738,-1.418e-4,0.403,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.235,15,1013.25,340.389,0.01,0.003
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,92.462,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.007,4.373e5,4.315,-9.357e-6,0.739,-1.437e-4,0.404,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.228,15,1013.25,340.389,0.01,0.003
